DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
52;384;52384;Perrogney-les-Fontaines;52;389;52389;Pierrefontaines;31;0;31
52;529;52529;Villegusien-le-Lac;52;402;52402;Prangey;182;3;185
52;140;52140;Colombey les Deux Églises;52;404;52404;Pratz;9;0;9
52;405;52405;Le Montsaugeonnais;52;405;52405;Prauthoy;385;9;394
52;265;52265;Bayard-sur-Marne;52;408;52408;Prez-sur-Marne;218;7;225
52;211;52211;Froncles;52;409;52409;Provenchères-sur-Marne;49;1;50
52;332;52332;Val-de-Meuse;52;410;52410;Provenchères-sur-Meuse;234;4;238
52;411;52411;Rives Dervoises;52;411;52411;Puellemontier;190;26;216
52;050;52050;Biesles;52;412;52412;Le Puits-des-Mèzes;168;3;171
52;332;52332;Val-de-Meuse;52;417;52417;Ravennefontaines;67;1;68
52;332;52332;Val-de-Meuse;52;418;52418;Récourt;66;1;67
52;331;52331;La Porte du Der;52;427;52427;Robert-Magny;258;4;262
52;058;52058;Bologne;52;434;52434;Roôcourt-la-Côte;208;3;211
52;242;52242;Haute-Amance;52;435;52435;Rosoy-sur-Amance;214;2;216
52;479;52479;Sommevoire;52;441;52441;Rozières;53;1;54
52;449;52449;Saints-Geosmes;52;449;52449;Saints-Geosmes;874;28;902
52;031;52031;Autreville-sur-la-Renne;52;451;52451;Saint-Martin-sur-la-Renne;79;1;80
52;529;52529;Villegusien-le-Lac;52;454;52454;Saint-Michel;112;2;114
52;251;52251;Jonchery;52;460;52460;Sarcicourt;157;1;158
52;177;52177;Doulaincourt-Saucourt;52;462;52462;Saucourt-sur-Rognon;131;2;133
52;088;52088;Ceffonds;52;466;52466;Sauvage-Magny;53;1;54
52;118;52118;Chatonrupt-Sommermont;52;477;52477;Sommermont;50;4;54
52;123;52123;Chevillon;52;478;52478;Sommeville;254;5;259
52;491;52491;Thonnance-les-Moulins;52;481;52481;Soulaincourt;17;0;17
52;242;52242;Haute-Amance;52;496;52496;Troischamps;61;2;63
52;432;52432;Rolampont;52;498;52498;Tronchoy;62;0;62
52;031;52031;Autreville-sur-la-Renne;52;501;52501;Valdelancourt;83;2;85
52;544;52544;Voisey;52;508;52508;Vaux-la-Douce;23;0;23
52;405;52405;Le Montsaugeonnais;52;509;52509;Vaux-sous-Aubigny;676;9;685
52;383;52383;Perrancey-les-Vieux-Moulins;52;521;52521;Vieux-Moulins;58;1;59
52;060;52060;Bourbonne-les-Bains;52;527;52527;Villars-Saint-Marcellin;103;3;106
52;529;52529;Villegusien-le-Lac;52;529;52529;Villegusien-le-Lac;333;6;339
52;094;52094;Vals-des-Tilles;52;530;52530;Villemervry;36;0;36
52;094;52094;Vals-des-Tilles;52;531;52531;Villemoron;49;1;50
52;497;52497;Troisfontaines-la-Ville;52;532;52532;Villiers-aux-Bois;118;5;123
52;178;52178;Doulevant-le-Château;52;533;52533;Villiers-aux-Chênes;62;2;64
52;230;52230;Gudmont-Villiers;52;537;52537;Villiers-sur-Marne;96;3;99
53;124;53124;Prée-d'Anjou;53;004;53004;Ampoigné;544;16;560
53;029;53029;Bierné-les-Villages;53;006;53006;Argenton-Notre-Dame;221;3;224
53;062;53062;Château-Gontier-sur-Mayenne;53;014;53014;Azé;3289;133;3422
53;017;53017;Val-du-Maine;53;017;53017;Ballée;702;14;716
53;029;53029;Bierné-les-Villages;53;029;53029;Bierné;696;17;713
53;228;53228;Blandouet-Saint Jean;53;032;53032;Blandouet;181;1;182
53;118;53118;Le Housseau-Brétignolles;53;044;53044;Brétignolles-le-Moulin;61;1;62
53;255;53255;Sainte-Suzanne-et-Chammes;53;050;53050;Chammes;352;3;355
53;062;53062;Château-Gontier-sur-Mayenne;53;062;53062;Château-Gontier;11398;461;11859
53;097;53097;Évron;53;065;53065;Châtres-la-Forêt;769;19;788
53;161;53161;Montsûrs;53;092;53092;Deux-Évailles;207;5;212
53;017;53017;Val-du-Maine;53;095;53095;Épineux-le-Seguin;250;2;252
53;097;53097;Évron;53;097;53097;Évron;6719;137;6856
